Clube;Milhões de Euros (Transfermarkt)
Flamengo;193.10
Atletico-MG;138.40
Botafogo;126.43
Palmeiras;120.50
Sao Paulo;112.18
Gremio;99.98
Corinthians;99.95
Santos;94.20
Fluminense;77.70
Internacional;77.15
Bragantino;75.85
Vasco;72.85
Bahia;70.50
Cruzeiro;62.75
Coritiba;58.33
Athletico-PR;57.73
Fortaleza;45.33
America-MG;34.18
Goias;27.83
Cuiaba;21.38
