Clube;Milhões de Euros (Transfermarkt)
Flamengo;214.15
Palmeiras;153.10
Corinthians;145.50
Botafogo;131.43
Atletico-MG;131.35
Internacional;123.23
Sao Paulo;113.75
Vasco;106.95
Cruzeiro;101.68
Fluminense;98.95
Gremio;87.00
Bahia;76.95
Bragantino;74.25
Athletico-PR;64.60
Fortaleza;45.05
Atletico-GO;32.60
Criciuma;31.00
Vitoria;31.00
Cuiaba;23.48
Juventude;21.60
